"","Method","Mean_Estimate","Mean_Truth","SD_Truth","Bias","Variance","MSE","Coverage","Mean_SE","Empirical_SE","CI_Width","N_Valid"
"static","static",12.4137199101581,15.1593137943119,0.00447979810775703,-2.74559388415386,0.509338721885818,8.04642302262908,0,0.0120602307259327,0.713679705390183,0.0472761044456562,500
"simple_alpha_0","simple_alpha_0",12.4200368185813,15.1594720622904,0.00480769992445127,-2.73943524370913,0.520860247370837,8.02451024278488,0,0.0119705047661125,0.721706482838305,0.0469243786831611,500
"simple_alpha_0.002","simple_alpha_0.002",11.3336555196004,11.9958320142615,0.450445672890001,-0.662176494661048,1.19505481129032,1.51270267292412,0.112,0.203964197414726,1.09318562526696,0.799539653865725,500
"simple_alpha_0.005","simple_alpha_0.005",10.8977551449223,11.1050665992954,0.158497479809679,-0.207311454373097,1.8108936822453,1.87155540099983,0.322,0.48336875318376,1.34569449811066,1.89480551248034,500
"simple_alpha_0.01","simple_alpha_0.01",10.8859593209397,11.0173468610809,0.141928492786675,-0.131387540141209,1.78918556277558,1.77382999301655,0.36,0.496632441221699,1.33760441191541,1.94679916958906,500
"simple_alpha_0.02","simple_alpha_0.02",10.1244033174384,10.1180440505836,0.300939222074864,0.00635926685472845,0.812322178394094,0.721284992642564,0.78,0.578351468230593,0.901289175788822,2.26713775546393,500
"simple_alpha_0.04","simple_alpha_0.04",9.95100018088848,9.93283443305447,0.0257896243151222,0.018165747834025,0.547050587062306,0.548410045446162,0.81,0.543678948369677,0.739628681881866,2.13122147760913,500
"simple_alpha_0.08","simple_alpha_0.08",9.92160396215194,9.90346105821865,0.0594653514397089,0.0181429039332775,0.507553272340145,0.500695288929091,0.826,0.540915827094138,0.712427731310443,2.12039004220902,500
"simple_alpha_0.16","simple_alpha_0.16",9.26832835789028,9.28338096214839,0.130159618170243,-0.015052604258115,0.270588312761265,0.250991413162955,0.878,0.416558648569806,0.520181038448409,1.63290990239364,500
"simple_alpha_0.32","simple_alpha_0.32",8.79020098495463,8.82647265968542,0.0202886023251106,-0.0362716747308105,0.121982633718154,0.122534974966495,0.916,0.315163457937869,0.349260123286576,1.23544075511645,500
"simple_alpha_1","simple_alpha_1",8.3327236405808,8.37058322409352,0.00960052006586423,-0.0378595835127155,0.0564921069425537,0.0582579762545002,0.88,0.19693925809162,0.237680682729063,0.772001891719151,500
"mm_alpha_0","mm_alpha_0",12.421091489193,15.1598160912257,0.00478433357833206,-2.73872460203276,0.513137787465493,8.01276834851472,0,0.0121799857761993,0.716336364751569,0.0477455442427012,500
"mm_alpha_0.002","mm_alpha_0.002",11.7457718141542,12.6552550041815,0.296557948350803,-0.909483190027343,0.809388885670045,1.59778268965765,0.054,0.0851768706133253,0.899660427978271,0.333893332804235,500
"mm_alpha_0.005","mm_alpha_0.005",11.7609931337774,12.3383893111566,0.228575393288716,-0.577396177379168,0.98913008148107,1.24742894430183,0.158,0.225045373408953,0.9945501905289,0.882177863763097,500
"mm_alpha_0.01","mm_alpha_0.01",11.2422419130805,11.547581238128,0.305567548581571,-0.305339325047553,1.54281008652006,1.51419747473179,0.244,0.370255855043365,1.24209906469655,1.45140295176999,500
"mm_alpha_0.02","mm_alpha_0.02",11.3498166277687,11.3271215616828,0.0874262894928671,0.0226950660859676,0.946076888574933,0.943074183072746,0.544,0.466109034295039,0.972664838767668,1.82714741443655,500
"mm_alpha_0.04","mm_alpha_0.04",10.9809515964406,10.959828233494,0.25230482554431,0.0211233629466636,0.823231019205359,0.729885446379063,0.674,0.482891302257276,0.907320791785,1.89293390484852,500
"mm_alpha_0.08","mm_alpha_0.08",9.99774249801882,10.0058589952481,0.146930953233017,-0.00811649722925865,0.502038627087072,0.492290720919562,0.822,0.539901160130043,0.708546841843975,2.11641254770977,500
"mm_alpha_0.16","mm_alpha_0.16",9.38382708126898,9.42393625345182,0.154759415506483,-0.0401091721828419,0.312147326013605,0.27667659825844,0.864,0.42285425098346,0.558701464123377,1.65758866385516,500
"mm_alpha_0.32","mm_alpha_0.32",8.80030671935835,8.84472790058432,0.0590525400344541,-0.0444211812259661,0.124771819354947,0.123421600595426,0.916,0.315918889611327,0.353230547029765,1.2384020472764,500
"mm_alpha_1","mm_alpha_1",8.33444296844278,8.37018194499302,0.00920112919589538,-0.0357389765502353,0.0558925740536645,0.0572865007095643,0.892,0.196853347291275,0.236416103625926,0.771665121381796,500
