"","Method","Mean_Estimate","Mean_Truth","SD_Truth","Bias","Variance","MSE","Coverage_Oracle","Coverage_IC","Coverage_Normal","Coverage_Percentile","Mean_SE_IC","Mean_SE_Boot","Empirical_SE","SE_Ratio_IC_Emp","SE_Ratio_Boot_Emp","CI_Width_Oracle","CI_Width_IC","CI_Width_Normal","CI_Width_Percentile","Width_Ratio_IC_Oracle","Width_Ratio_Normal_Oracle","Width_Ratio_Percentile_Oracle","N_Valid"
"static","static",0.493338834304798,0.829259154106145,0.000491992270776904,-0.335920319801347,0.0069451078425443,0.119778387889535,0.021,0,NA,NA,0.00133825461165424,NA,0.083337313626876,0.0160582883394343,NA,0.326682269417354,0.00524595807768464,NA,NA,0.0160582883394343,NA,NA,1000
"simple_alpha_0","simple_alpha_0",0.493452923631685,0.829260226271586,0.00052046523433864,-0.335807302639901,0.00689385523840154,0.119651376099772,0.02,0,NA,NA,0.00139736062171039,NA,0.0830292432724852,0.0168297405424319,NA,0.325474633628142,0.00547765363710473,NA,NA,0.016829740542432,NA,NA,1000
"simple_alpha_0.001","simple_alpha_0.001",0.380167923372011,0.481007858402718,0.0279622544167486,-0.100839935030708,0.0108607306692727,0.0208826065645202,0.86,0.05,NA,NA,0.016588506651033,NA,0.104214829411522,0.159176066829496,NA,0.408522131293167,0.0650269460720495,NA,NA,0.159176066829496,NA,NA,1000
"simple_alpha_0.005","simple_alpha_0.005",0.309548877520263,0.32938504987211,0.0177942651370938,-0.0198361723518476,0.0242703653005563,0.0243745299318698,0.932,0.346,NA,NA,0.0552293056053379,NA,0.155789490340511,0.354512396726007,NA,0.610694802134805,0.216498877972924,NA,NA,0.354512396726007,NA,NA,1000
"simple_alpha_0.01","simple_alpha_0.01",0.302194915077686,0.319079484366431,0.0190496765139441,-0.0168845692887448,0.0240636614704285,0.0237431040839572,0.938,0.384,NA,NA,0.0577836397865875,NA,0.155124664287883,0.372498081152018,NA,0.608088684008502,0.226511867963423,NA,NA,0.372498081152019,NA,NA,1000
"simple_alpha_0.02","simple_alpha_0.02",0.205097401626102,0.212564624517271,0.0392789832032391,-0.00746722289116824,0.0109358521539946,0.00956514444013742,0.95,0.762,NA,NA,0.0645552347585709,NA,0.104574624809246,0.617312611700264,NA,0.409932529252245,0.253056520253598,NA,NA,0.617312611700264,NA,NA,1000
"simple_alpha_0.0359808364757143","simple_alpha_0.0359808364757143",0.183007949308999,0.18818338048613,0.00201708979131175,-0.0051754311771312,0.00684167628293041,0.00686706445210063,0.946,0.806,NA,NA,0.0617866073190424,NA,0.082714426087173,0.746987076400981,NA,0.324240550261718,0.242203500690646,NA,NA,0.746987076400981,NA,NA,1000
"simple_alpha_0.05","simple_alpha_0.05",0.183124985504504,0.188058204885213,0.00102800441757978,-0.00493321938070933,0.00683018774856613,0.00685862607986682,0.943,0.806,NA,NA,0.061769956345728,NA,0.0826449499277852,0.747413561260577,NA,0.323968203716918,0.242138228875254,NA,NA,0.747413561260578,NA,NA,1000
"simple_alpha_0.1","simple_alpha_0.1",0.153902539825985,0.161214191833105,0.0185315491757796,-0.00731165200711978,0.00545261912328685,0.00512425505058714,0.956,0.862,NA,NA,0.0574797060967062,NA,0.0738418521117046,0.778416364878735,NA,0.289460060277882,0.225320447899089,NA,NA,0.778416364878735,NA,NA,1000
"simple_alpha_0.2","simple_alpha_0.2",0.087147824505465,0.0932865852653709,0.00421044210727145,-0.00613876075990609,0.00290894209821672,0.00294548269835292,0.955,0.879,NA,NA,0.0441231008882186,NA,0.0539346094656921,0.81808510945621,NA,0.211423669105513,0.172962555481817,NA,NA,0.818085109456211,NA,NA,1000
"simple_alpha_0.4","simple_alpha_0.4",0.0335935692916906,0.0386823683943742,0.00865921623331354,-0.00508879910268375,0.00141957026725589,0.00137125334649725,0.951,0.903,NA,NA,0.0309281854735534,NA,0.0376771849698978,0.820873042884267,NA,0.147694565081999,0.121238487056329,NA,NA,0.820873042884266,NA,NA,1000
