"","Method","Mean_Estimate","Mean_Truth","SD_Truth","Bias","Variance","MSE","Coverage_Oracle","Coverage_IC","Coverage_Normal","Coverage_Percentile","Mean_SE_IC","Mean_SE_Boot","Empirical_SE","SE_Ratio_IC_Emp","SE_Ratio_Boot_Emp","CI_Width_Oracle","CI_Width_IC","CI_Width_Normal","CI_Width_Percentile","Width_Ratio_IC_Oracle","Width_Ratio_Normal_Oracle","Width_Ratio_Percentile_Oracle","N_Valid"
"static","static",12.3423752191853,15.1595100047074,0.00475773493252329,-2.81713478552203,0.629519653348954,8.5596875444882,0.04,0,0.06,0.02,0.0100548236689223,0.511272965209637,0.793422745671533,0.0126727192077311,0.64438909521923,3.11021716303241,0.0394149087821755,2.00419002362178,1.76270229666064,0.012672719207731,0.644389095219231,0.566745730044791,100
"simple_alpha_0","simple_alpha_0",12.3396293339235,15.1599317519246,0.00483731270773111,-2.82030241800108,0.636638702618975,8.58508715731635,0.05,0,0.06,0.02,0.0101092091058806,0.514867481527946,0.797896423490528,0.0126698263186295,0.645281099613875,3.12775398008287,0.0396280996950519,2.01828052758955,1.77393567880489,0.0126698263186294,0.645281099613875,0.56715959442497,100
"simple_alpha_0.005","simple_alpha_0.005",10.934155052609,11.1124994200748,0.156242934521195,-0.178344367465774,1.66185400784511,1.62150943490815,0.94,0.3,0.82,0.93,0.393145148475362,0.848478903669937,1.28912916647057,0.304969555185638,0.65817989828974,5.05338633256464,1.54112898202342,3.32603730238615,2.97644002547349,0.304969555185638,0.65817989828974,0.588999104678174,100
"simple_alpha_0.01","simple_alpha_0.01",10.8651839451186,11.0246594533056,0.104037938204348,-0.159475508187027,1.59046528458156,1.55784103783646,0.94,0.36,0.87,0.94,0.440964742720975,0.895774145144214,1.26113650513398,0.349656631875966,0.710291186955251,4.94365510012521,1.72858179146622,3.51143464896532,3.23874931524514,0.349656631875965,0.710291186955252,0.6551325385064,100
"simple_alpha_0.02","simple_alpha_0.02",10.2216452721203,10.1469025318575,0.318436492857284,0.0747427402627983,0.903887038212781,0.744683617855851,0.95,0.79,0.96,0.95,0.590867341105436,0.849998289745875,0.950729739838184,0.621488227775438,0.894048281155638,3.72686058016568,2.31619997713331,3.33199329580383,3.28230385329994,0.621488227775437,0.894048281155638,0.880715493026042,100
"simple_alpha_0.0359808364757143","simple_alpha_0.0359808364757143",10.0613321785507,9.93392582195116,0.0271071338033891,0.127406356599563,0.430421756552118,0.439469949274603,0.96,0.81,0.94,0.95,0.532441615060749,0.68098660219285,0.656065359969659,0.811567943604541,1.03798591381862,2.57177621108106,2.08717113103814,2.66946748059597,2.64081074846611,0.811567943604541,1.03798591381862,1.02684313552929,100
"simple_alpha_0.05","simple_alpha_0.05",10.0535233979033,9.93159917812952,0.00953506570466946,0.121924219773815,0.420376342209295,0.42967664021793,0.96,0.82,0.94,0.93,0.529792963989068,0.671557030121064,0.648364359144837,0.817122280885151,1.03577104547637,2.54158828784776,2.07678841883715,2.63250355807457,2.62976571249808,0.817122280885151,1.03577104547637,1.03469382711272,100
"simple_alpha_0.1","simple_alpha_0.1",9.74093432840466,9.71289981668088,0.161813665955765,0.0280345117237766,0.329741009883244,0.317920041421776,0.97,0.9,0.98,0.96,0.520757306905245,0.656907140470285,0.574230798445402,0.90687805028061,1.14397754744035,2.25098472990598,2.04136864306856,2.57507599064351,2.50340024571381,0.90687805028061,1.14397754744035,1.112135596681,100
"simple_alpha_0.2","simple_alpha_0.2",9.10592591266728,9.13057509661852,0.0351674484522419,-0.0246491839512482,0.180631766290305,0.179916926667198,0.94,0.9,0.95,0.98,0.392489479529717,0.46042542278385,0.425007960266988,0.9234873607618,1.08333364507953,1.66603120424659,1.53855875975649,1.80486765731269,1.77701004908116,0.9234873607618,1.08333364507953,1.06661270482311,100
"simple_alpha_0.4","simple_alpha_0.4",8.60855114040455,8.64372544120294,0.0786601302627662,-0.035174300798395,0.0902917423840827,0.0847842395639501,0.98,0.94,0.97,0.97,0.275405279789266,0.332420508536855,0.300485843899646,0.916533292267984,1.10627676905762,1.17790450808661,1.07958869677392,1.30308839346447,1.26994177718939,0.916533292267984,1.10627676905762,1.07813644354947,100
