"","Method","Mean_Estimate","Mean_Truth","SD_Truth","Bias","Variance","MSE","Coverage","Mean_SE","Empirical_SE","CI_Width","N_Valid"
"static","static",12.3074181492429,15.1594528734496,0.00473121170397249,-2.85203472420668,0.655498081060084,8.78856819284858,0,0.00794182429252282,0.809628359841776,0.0311319512266895,500
"simple_alpha_0","simple_alpha_0",12.2997090604062,15.1595834368022,0.0047170725787651,-2.85987437639605,0.657120101571864,8.83464366763589,0,0.0106444252837454,0.810629447757645,0.0417261471122818,500
"simple_alpha_0.002","simple_alpha_0.002",11.2445008974474,11.9935277038273,0.446873602326181,-0.74902680637997,1.39299958660324,1.80470205541204,0.104,0.224641369305758,1.18025403477524,0.880594167678573,500
"simple_alpha_0.005","simple_alpha_0.005",10.7463679425038,11.0964259895771,0.145838897311792,-0.350058047073324,1.8336354173278,1.91612470017304,0.314,0.487273391562576,1.35411794808569,1.9101116949253,500
"simple_alpha_0.01","simple_alpha_0.01",10.6999093247759,11.0164488588693,0.159222702861719,-0.316539534093436,1.6948362642004,1.7729105348182,0.348,0.4908623252754,1.30185877275548,1.92418031507957,500
"simple_alpha_0.02","simple_alpha_0.02",10.0011653481729,10.1358867720615,0.315533556487484,-0.134721423888691,0.884038014700006,0.815155167773458,0.716,0.571036003422224,0.940232957675919,2.23846113341512,500
"simple_alpha_0.04","simple_alpha_0.04",9.85069009447277,9.93165903422262,0.00935928120002821,-0.0809689397498458,0.581211978308249,0.586439962851765,0.774,0.521894316011687,0.762372598083279,2.04582571876581,500
"simple_alpha_0.08","simple_alpha_0.08",9.81516984503159,9.90673656832194,0.0587139213754033,-0.091566723290342,0.567308490089195,0.566262796972237,0.786,0.523833289719912,0.753198838348278,2.05342649570205,500
"simple_alpha_0.16","simple_alpha_0.16",9.21132888560179,9.2792524366541,0.130285670875204,-0.0679235510523001,0.270378044049623,0.240221081362722,0.892,0.414806267674578,0.519978888080683,1.62604056928435,500
"simple_alpha_0.32","simple_alpha_0.32",8.7900470433366,8.82164054187888,0.0280333536117113,-0.0315934985422892,0.135509784233194,0.135817174998181,0.916,0.311800018606111,0.368116536212644,1.22225607293596,500
"simple_alpha_1","simple_alpha_1",8.32012595193031,8.37023115385192,0.00956474155649875,-0.0501052019216203,0.051413723021545,0.0536170898201301,0.906,0.197920710931964,0.226745943781901,0.775849186853299,500
"mm_alpha_0","mm_alpha_0",12.2958745107234,15.1595735111927,0.0048744213540895,-2.86369900046927,0.664355482420609,8.86359578292032,0,0.0106341255930878,0.815080046633832,0.0416857723249043,500
"mm_alpha_0.002","mm_alpha_0.002",11.6480921851013,12.6257619702045,0.276480040486992,-0.977669785103232,0.81917698772441,1.75106829420008,0.036,0.191389493502573,0.905083967223158,0.750246814530084,500
"mm_alpha_0.005","mm_alpha_0.005",11.6129192060312,12.3505639131338,0.218770250040917,-0.737644707102592,1.17573851710632,1.68423234661041,0.118,0.233727581798656,1.0843147684627,0.916212120650732,500
"mm_alpha_0.01","mm_alpha_0.01",11.1126485788638,11.5470321903185,0.294516818335366,-0.434383611454727,1.62743801829861,1.72346016078629,0.25,0.384090303646438,1.27571078944195,1.50563399029404,500
"mm_alpha_0.02","mm_alpha_0.02",11.1682990107293,11.3164227408028,0.0936161743316951,-0.148123730073547,1.0807588505925,1.09217398151882,0.51,0.464889689492131,1.0395955225916,1.82236758280915,500
"mm_alpha_0.04","mm_alpha_0.04",10.8425447300302,10.963186897285,0.251815344823925,-0.120642167254846,0.875026931411865,0.800455890645835,0.642,0.452601523662197,0.935428742027882,1.77419797275581,500
"mm_alpha_0.08","mm_alpha_0.08",9.89665695852297,9.9991019901846,0.125589611435392,-0.102445031661615,0.620748261326645,0.609501815093661,0.756,0.518475937369386,0.787875790544832,2.03242567448799,500
"mm_alpha_0.16","mm_alpha_0.16",9.32706372103252,9.41717270523216,0.160063628650173,-0.0901089841996436,0.286111014916553,0.250981663225621,0.882,0.421654232097812,0.534893461276685,1.65288458982342,500
"mm_alpha_0.32","mm_alpha_0.32",8.79775311398457,8.84171418229746,0.0534521944132369,-0.0439610683128874,0.139100066760356,0.135811003177485,0.902,0.313654029753396,0.372961213479841,1.22952379663331,500
"mm_alpha_1","mm_alpha_1",8.32003681773949,8.37063648735815,0.00965321142646804,-0.0505996696186589,0.0512867956234433,0.0540807938453451,0.9,0.197982757802195,0.226465881808813,0.776092410584605,500
